SmasherID,SmashTag,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,WinPercentage,PlaceWeek1,PlaceWeek2,PlacePoints,PlacePoints1,PlacePoints2,Points,Rank
1016,Fiction,14,4,0,0,0,0,1,0,0,0.7777777777777778,7,-2,75.0,75.0,0.0,104.0,10.0
64692,SANS | Blues Clues,28,11,0,0,0,1,1,0,0,0.7179487179487181,13,7,100.0,25.0,75.0,153.0,7.0
65777,bobby big ballz,24,9,0,0,0,1,1,0,0,0.7272727272727273,9,4,170.0,45.0,125.0,219.0,5.0
279722,EP | Justus,14,9,0,0,0,1,0,0,0,0.6086956521739131,17,-2,10.0,10.0,0.0,34.0,30.0
61873,306 | Polo,8,3,0,0,0,1,0,0,0,0.7272727272727273,17,-2,10.0,10.0,0.0,28.0,35.0
1019,CLG. | SFAT,16,6,0,0,0,1,0,0,1,0.7272727272727273,2,3,325.0,175.0,150.0,361.0,3.0
26750,KoDoRiN,12,5,0,0,0,1,0,0,1,0.7058823529411765,5,7,170.0,95.0,75.0,202.0,6.0
10485,DD,20,12,0,0,0,2,0,0,0,0.625,13,13,50.0,25.0,25.0,90.0,13.0
4127,MIOM | Toph,8,5,0,0,0,1,0,0,0,0.6153846153846154,17,-2,10.0,10.0,0.0,28.0,35.0
294260,ABG | salami,8,5,0,0,0,1,0,0,0,0.6153846153846154,17,-2,10.0,10.0,0.0,28.0,35.0
3734,Hulka,9,6,0,0,0,1,0,0,0,0.6,17,-2,10.0,10.0,0.0,29.0,34.0
927948,clichÃÂ©,25,18,0,0,0,2,0,0,0,0.5813953488372093,9,17,55.0,45.0,10.0,100.0,11.0
135157,billybopeep,8,6,0,0,0,1,0,0,0,0.5714285714285714,17,-2,10.0,10.0,0.0,28.0,35.0
585236,306 | Amrak,21,11,0,0,1,1,0,0,0,0.65625,-1,13,25.0,0.0,25.0,61.0,20.0
327212,:3 | Marrgasm,18,12,0,0,1,1,0,0,0,0.6,-1,17,10.0,0.0,10.0,43.0,25.0
12137,Cock Lot | JEEPER,11,15,0,0,1,0,0,0,0,0.4230769230769231,-1,-2,0.0,0.0,0.0,16.0,44.0
265808,NOOT,4,3,0,0,1,0,0,0,0,0.5714285714285714,-1,-2,0.0,0.0,0.0,9.0,56.0
27862,Musashi,12,9,0,0,1,1,0,0,0,0.5714285714285714,-1,25,0.0,0.0,0.0,27.0,39.0
38175,W8ASec,7,7,0,0,1,0,0,0,0,0.5,-1,-2,0.0,0.0,0.0,12.0,52.0
38643,RedX,7,10,0,1,0,0,0,0,0,0.4117647058823529,-1,-2,0.0,0.0,0.0,8.0,59.0
286517,Thad <3,10,9,0,1,1,0,0,0,0,0.5263157894736842,-1,-1,0.0,0.0,0.0,16.0,44.0
407878,Slump,7,12,0,1,0,0,0,0,0,0.3684210526315789,-1,-2,0.0,0.0,0.0,8.0,59.0
4864,Theftz,3,6,0,1,0,0,0,0,0,0.3333333333333333,-1,-2,0.0,0.0,0.0,4.0,69.0
627118,Pipe,15,23,0,0,2,0,0,0,0,0.3947368421052632,-1,-1,0.0,0.0,0.0,25.0,40.0
391890,TheFormuoli,10,14,0,1,0,0,0,0,0,0.4166666666666667,-1,-2,0.0,0.0,0.0,11.0,54.0
51608,Vitro,4,6,0,1,0,0,0,0,0,0.4,-1,-2,0.0,0.0,0.0,5.0,66.0
14617,DiscipleOfBorp,4,11,0,1,0,0,0,0,0,0.26666666666666666,-1,-2,0.0,0.0,0.0,5.0,66.0
288395,jams,4,16,0,1,0,0,0,0,0,0.2,-1,-2,0.0,0.0,0.0,5.0,66.0
53365,Ringler,1,11,0,1,0,0,0,0,0,0.08333333333333333,-1,-2,0.0,0.0,0.0,2.0,81.0
617254,N8V,1,8,0,1,0,0,0,0,0,0.1111111111111111,-1,-2,0.0,0.0,0.0,2.0,81.0
2082068,CarltonDanks,0,5,0,1,0,0,0,0,0,0.0,-1,-2,0.0,0.0,0.0,1.0,90.0
40403,Pawn,5,25,0,2,0,0,0,0,0,0.16666666666666666,-1,-1,0.0,0.0,0.0,7.0,63.0
61897,LSD,14,3,0,0,0,0,1,0,0,0.8235294117647058,5,-2,95.0,95.0,0.0,124.0,8.0
3561,Ginger,24,6,0,0,0,0,1,0,1,0.8,1,2,375.0,200.0,175.0,424.0,1.0
21215,Dom,13,6,0,0,0,1,0,0,0,0.6842105263157895,7,-2,75.0,75.0,0.0,98.0,12.0
1077,Revenge | Gahtzu,14,2,0,0,0,1,0,0,1,0.875,3,1,350.0,150.0,200.0,384.0,2.0
138710,Golden,8,3,0,0,0,1,0,0,0,0.7272727272727273,9,-2,45.0,45.0,0.0,63.0,18.0
23920,GHQ | Zamu,11,5,0,0,0,1,0,0,0,0.6875,9,-2,45.0,45.0,0.0,66.0,16.0
709843,Chem,13,10,0,0,0,1,0,0,0,0.5652173913043478,13,-2,25.0,25.0,0.0,48.0,22.0
185618,Captain G,12,10,0,0,0,1,0,0,0,0.5454545454545454,13,-2,25.0,25.0,0.0,47.0,23.0
4748,GST | Ryobeat,6,2,0,0,1,0,0,0,0,0.75,-1,-2,0.0,0.0,0.0,11.0,54.0
465131,Hunybear,12,9,0,0,1,0,0,0,0,0.5714285714285714,-1,-2,0.0,0.0,0.0,17.0,43.0
147811,Dawson,9,8,0,0,1,0,0,0,0,0.5294117647058824,-1,-2,0.0,0.0,0.0,14.0,50.0
257025,2Framez,9,7,0,1,1,0,0,0,0,0.5625,-1,-1,0.0,0.0,0.0,15.0,48.0
26153,DarkGenex,11,11,0,0,1,0,0,0,0,0.5,-1,-2,0.0,0.0,0.0,16.0,44.0
353165,Milo,10,10,0,0,1,0,0,0,0,0.5,-1,-2,0.0,0.0,0.0,15.0,48.0
5618,ANTIFA CEO | Quiggles,24,26,0,1,0,1,0,0,0,0.48,-1,25,0.0,0.0,0.0,35.0,29.0
16066,TG NBR | Panos,4,4,0,0,1,0,0,0,0,0.5,-1,-2,0.0,0.0,0.0,9.0,56.0
45356,OtES,7,12,0,1,0,0,0,0,0,0.3684210526315789,-1,-2,0.0,0.0,0.0,8.0,59.0
65566,Miranda,2,4,0,1,0,0,0,0,0,0.3333333333333333,-1,-2,0.0,0.0,0.0,3.0,75.0
255496,ericiscool.net,1,2,0,1,0,0,0,0,0,0.3333333333333333,-1,-2,0.0,0.0,0.0,2.0,81.0
158148,Chewy,2,8,0,1,0,0,0,0,0,0.2,-1,-2,0.0,0.0,0.0,3.0,75.0
241260,Alex18+,11,19,0,2,0,0,0,0,0,0.36666666666666653,-1,25,0.0,0.0,0.0,13.0,51.0
925369,Fishpaste,1,9,0,1,0,0,0,0,0,0.1,-1,-2,0.0,0.0,0.0,2.0,81.0
11945,Strazz,5,14,0,2,0,0,0,0,0,0.2631578947368421,-1,-1,0.0,0.0,0.0,7.0,63.0
155077,radvillainy,1,11,0,1,0,0,0,0,0,0.08333333333333333,-1,-2,0.0,0.0,0.0,2.0,81.0
13622,Blu-J,0,2,0,1,0,0,0,0,0,0.0,-1,-2,0.0,0.0,0.0,1.0,90.0
424095,Frost | JJK,0,4,0,1,0,0,0,0,0,0.0,-1,-2,0.0,0.0,0.0,1.0,90.0
357233,Afron,0,4,0,1,0,0,0,0,0,0.0,-1,-2,0.0,0.0,0.0,1.0,90.0
1017,S2J,6,4,0,0,0,0,0,0,2,0.6,4,5,220.0,125.0,95.0,246.0,4.0
16023,soccermom69,12,5,0,0,0,1,0,0,0,0.7058823529411765,-2,13,25.0,0.0,25.0,47.0,23.0
36990,Trock,15,9,0,0,0,1,0,0,0,0.625,-2,13,25.0,0.0,25.0,50.0,21.0
38567,Android 0,11,2,0,0,0,1,0,0,0,0.8461538461538461,-2,5,95.0,0.0,95.0,116.0,9.0
28793,Light,12,6,0,0,0,1,0,0,0,0.6666666666666666,-2,17,10.0,0.0,10.0,32.0,33.0
60696,FM | Cilan,13,8,0,0,0,1,0,0,0,0.6190476190476191,-2,17,10.0,0.0,10.0,33.0,32.0
10529,The Leaf,8,2,0,0,0,1,0,0,0,0.8,-2,9,45.0,0.0,45.0,63.0,18.0
29840,TBD,14,9,0,0,0,1,0,0,0,0.6086956521739131,-2,17,10.0,0.0,10.0,34.0,30.0
250581,Fizz,18,13,0,0,0,1,0,0,0,0.5806451612903226,-2,9,45.0,0.0,45.0,73.0,14.0
19346,SonOfJ,8,8,0,0,0,1,0,0,0,0.5,-2,25,0.0,0.0,0.0,18.0,41.0
150888,Shy,7,4,0,0,1,0,0,0,0,0.6363636363636364,-2,-1,0.0,0.0,0.0,12.0,52.0
25789,Tourist,4,3,0,0,1,0,0,0,0,0.5714285714285714,-2,-1,0.0,0.0,0.0,9.0,56.0
27527,Megaman,11,14,0,0,1,0,0,0,0,0.44,-2,-1,0.0,0.0,0.0,16.0,44.0
301566,JustJoshin,3,4,0,1,0,0,0,0,0,0.42857142857142855,-2,-1,0.0,0.0,0.0,4.0,69.0
147251,GS | TreyTheTrashman,3,4,0,1,0,0,0,0,0,0.42857142857142855,-2,-1,0.0,0.0,0.0,4.0,69.0
4197,Uncle Pete,3,6,0,0,1,0,0,0,0,0.3333333333333333,-2,-1,0.0,0.0,0.0,8.0,59.0
735376,CVSmashMods | Ripn,3,3,0,1,0,0,0,0,0,0.5,-2,-1,0.0,0.0,0.0,4.0,69.0
2085246,kippu,3,5,0,1,0,0,0,0,0,0.375,-2,-1,0.0,0.0,0.0,4.0,69.0
718293,Nico,3,8,0,1,0,0,0,0,0,0.2727272727272727,-2,-1,0.0,0.0,0.0,4.0,69.0
18722,K.H.D | Reign,2,15,0,1,0,0,0,0,0,0.1176470588235294,-2,-1,0.0,0.0,0.0,3.0,75.0
157632,TurboThot,1,3,0,1,0,0,0,0,0,0.25,-2,-1,0.0,0.0,0.0,2.0,81.0
229216,KaiKwonDo,2,6,0,1,0,0,0,0,0,0.25,-2,-1,0.0,0.0,0.0,3.0,75.0
528737,3OutChange,1,11,0,1,0,0,0,0,0,0.08333333333333333,-2,-1,0.0,0.0,0.0,2.0,81.0
33387,pointykitty,1,19,0,1,0,0,0,0,0,0.05,-2,-1,0.0,0.0,0.0,2.0,81.0
148200,Big Pivot,0,27,0,1,0,0,0,0,0,0.0,-2,-1,0.0,0.0,0.0,1.0,90.0
21661,GLR | JAM,17,7,0,0,0,0,1,0,0,0.7083333333333334,-2,17,10.0,0.0,10.0,42.0,26.0
47866,S.C.E. | Erik,12,7,0,0,0,0,1,0,0,0.631578947368421,-2,17,10.0,0.0,10.0,37.0,27.0
54390,Question,17,10,0,0,0,1,0,0,0,0.6296296296296297,-2,17,10.0,0.0,10.0,37.0,27.0
12353,Twisty,10,4,0,0,0,1,0,0,0,0.7142857142857143,-2,9,45.0,0.0,45.0,65.0,17.0
7201,.Ãempt,18,11,0,0,0,1,0,0,0,0.6206896551724138,-2,9,45.0,0.0,45.0,73.0,14.0
657464,CowCowCowCowCow,8,8,0,0,0,1,0,0,0,0.5,-2,25,0.0,0.0,0.0,18.0,41.0
15948,glum oinkin',2,4,0,1,0,0,0,0,0,0.3333333333333333,-2,-1,0.0,0.0,0.0,3.0,75.0
183400,Doctor Dank,2,13,0,1,0,0,0,0,0,0.13333333333333333,-2,-1,0.0,0.0,0.0,3.0,75.0
223503,Rigo Bigo,5,11,0,1,0,0,0,0,0,0.3125,-2,-1,0.0,0.0,0.0,6.0,65.0
641180,Luppi,1,7,0,1,0,0,0,0,0,0.125,-2,-1,0.0,0.0,0.0,2.0,81.0
2064187,Abhi,0,15,0,1,0,0,0,0,0,0.0,-2,-1,0.0,0.0,0.0,1.0,90.0
